id,title,isPaidOnly,difficulty,likeDislike_ratio,likes,dislikes
4,Median of Two Sorted Arrays,0,Hard,6,5164,747
42,Trapping Rain Water,0,Hard,57,4595,80
10,Regular Expression Matching,0,Hard,5,3157,589
23,Merge k Sorted Lists,0,Hard,15,3056,203
76,Minimum Window Substring,0,Hard,14,2885,203
72,Edit Distance,0,Hard,63,2552,40
84,Largest Rectangle in Histogram,0,Hard,38,2387,62
32,Longest Valid Parentheses,0,Hard,21,2345,107
128,Longest Consecutive Sequence,0,Hard,18,2239,123
41,First Missing Positive,0,Hard,3,2164,654
239,Sliding Window Maximum,0,Hard,17,2151,126
124,Binary Tree Maximum Path Sum,0,Hard,12,2099,162
297,Serialize and Deserialize Binary Tree,0,Hard,20,1967,95
85,Maximal Rectangle,0,Hard,33,1785,54
301,Remove Invalid Parentheses,0,Hard,24,1773,72
312,Burst Balloons,0,Hard,32,1631,50
295,Find Median from Data Stream,0,Hard,50,1520,30
45,Jump Game II,0,Hard,17,1506,87
212,Word Search II,0,Hard,17,1456,81
315,Count of Smaller Numbers After Self,0,Hard,23,1449,61
218,The Skyline Problem,0,Hard,19,1448,73
25,Reverse Nodes in k-Group,0,Hard,4,1438,290
123,Best Time to Buy and Sell Stock III,0,Hard,23,1382,58
44,Wildcard Matching,0,Hard,16,1335,80
329,Longest Increasing Path in a Matrix,0,Hard,57,1257,22
126,Word Ladder II,0,Hard,5,1237,211
140,Word Break II,0,Hard,4,1216,275
51,N-Queens,0,Hard,22,1205,54
145,Binary Tree Postorder Traversal,0,Hard,19,1145,60
37,Sudoku Solver,0,Hard,15,1130,74
269,Alien Dictionary,1,Hard,5,1098,213
57,Insert Interval,0,Hard,7,1049,134
410,Split Array Largest Sum,0,Hard,17,1034,58
99,Recover Binary Search Tree,0,Hard,17,967,55
336,Palindrome Pairs,0,Hard,7,951,128
224,Basic Calculator,0,Hard,9,947,104
97,Interleaving String,0,Hard,17,945,53
188,Best Time to Buy and Sell Stock IV,0,Hard,15,934,60
316,Remove Duplicate Letters,0,Hard,10,907,85
460,LFU Cache,0,Hard,9,854,89
407,Trapping Rain Water II,0,Hard,36,848,23
174,Dungeon Game,0,Hard,44,837,19
282,Expression Add Operators,0,Hard,6,832,119
115,Distinct Subsequences,0,Hard,19,809,42
632,Smallest Range Covering Elements from K Lists,0,Hard,35,781,22
214,Shortest Palindrome,0,Hard,8,772,93
132,Palindrome Partitioning II,0,Hard,28,723,25
354,Russian Doll Envelopes,0,Hard,23,695,29
340,Longest Substring with At Most K Distinct Characters,1,Hard,29,680,23
273,Integer to English Words,0,Hard,0,659,1841
489,Robot Room Cleaner,1,Hard,17,658,37
689,Maximum Sum of 3 Non-Overlapping Subarrays,0,Hard,18,653,35
30,Substring with Concatenation of All Words,0,Hard,0,639,1022
719,Find K-th Smallest Pair Distance,0,Hard,30,634,21
159,Longest Substring with At Most Two Distinct Characters,1,Hard,48,632,13
857,Minimum Cost to Hire K Workers,0,Hard,9,630,65
135,Candy,0,Hard,4,620,131
493,Reverse Pairs,0,Hard,6,619,92
305,Number of Islands II,1,Hard,44,618,14
642,Design Search Autocomplete System,1,Hard,11,611,52
403,Frog Jump,0,Hard,8,606,73
164,Maximum Gap,0,Hard,4,601,140
895,Maximum Frequency Stack,0,Hard,54,600,11
