id,title,isPaidOnly,difficulty,likeDislike_ratio,likes,dislikes
3,Longest Substring Without Repeating Characters,0,Medium,17,6602,383
2,Add Two Numbers,0,Medium,3,6131,1594
15,3Sum,0,Medium,8,4663,548
5,Longest Palindromic Substring,0,Medium,11,4513,406
11,Container With Most Water,0,Medium,8,4067,478
146,LRU Cache,0,Medium,24,3724,152
22,Generate Parentheses,0,Medium,16,3421,204
200,Number of Islands,0,Medium,28,3298,117
300,Longest Increasing Subsequence,0,Medium,44,3071,69
33,Search in Rotated Sorted Array,0,Medium,8,3046,366
287,Find the Duplicate Number,0,Medium,8,2983,344
238,Product of Array Except Self,0,Medium,11,2882,247
139,Word Break,0,Medium,18,2770,151
17,Letter Combinations of a Phone Number,0,Medium,7,2660,340
56,Merge Intervals,0,Medium,12,2631,209
152,Maximum Product Subarray,0,Medium,22,2596,115
560,Subarray Sum Equals K,0,Medium,36,2559,71
39,Combination Sum,0,Medium,32,2534,77
46,Permutations,0,Medium,30,2527,82
55,Jump Game,0,Medium,10,2476,236
215,Kth Largest Element in an Array,0,Medium,12,2475,197
98,Validate Binary Search Tree,0,Medium,6,2468,365
78,Subsets,0,Medium,42,2436,58
236,Lowest Common Ancestor of a Binary Tree,0,Medium,16,2429,145
322,Coin Change,0,Medium,28,2321,82
79,Word Search,0,Medium,19,2293,119
207,Course Schedule,0,Medium,20,2286,110
31,Next Permutation,0,Medium,3,2249,727
19,Remove Nth Node From End of List,0,Medium,13,2208,162
105,Construct Binary Tree from Preorder and Inorder Traversal,0,Medium,35,2136,60
49,Group Anagrams,0,Medium,15,2104,133
96,Unique Binary Search Trees,0,Medium,25,2102,82
34,Find First and Last Position of Element in Sorted Array,0,Medium,21,2082,98
75,Sort Colors,0,Medium,11,2045,175
94,Binary Tree Inorder Traversal,0,Medium,22,2029,91
621,Task Scheduler,0,Medium,5,2017,368
394,Decode String,0,Medium,18,1963,107
138,Copy List with Random Pointer,0,Medium,3,1961,502
62,Unique Paths,0,Medium,13,1956,143
48,Rotate Image,0,Medium,11,1945,175
208,Implement Trie (Prefix Tree),0,Medium,55,1931,35
240,Search a 2D Matrix II,0,Medium,35,1920,54
347,Top K Frequent Elements,0,Medium,15,1913,121
127,Word Ladder,0,Medium,2,1906,906
438,Find All Anagrams in a String,0,Medium,12,1876,145
406,Queue Reconstruction by Height,0,Medium,8,1852,207
102,Binary Tree Level Order Traversal,0,Medium,38,1838,48
114,Flatten Binary Tree to Linked List,0,Medium,7,1817,240
337,House Robber III,0,Medium,47,1813,38
148,Sort List,0,Medium,19,1777,93
142,Linked List Cycle II,0,Medium,12,1769,142
279,Perfect Squares,0,Medium,11,1763,153
91,Decode Ways,0,Medium,0,1739,1983
253,Meeting Rooms II,1,Medium,61,1731,28
64,Minimum Path Sum,0,Medium,38,1684,44
647,Palindromic Substrings,0,Medium,19,1683,86
221,Maximal Square,0,Medium,40,1675,41
173,Binary Search Tree Iterator,0,Medium,6,1674,252
338,Counting Bits,0,Medium,14,1672,119
494,Target Sum,0,Medium,21,1665,79
739,Daily Temperatures,0,Medium,34,1660,48
309,Best Time to Buy and Sell Stock with Cooldown,0,Medium,26,1610,60
399,Evaluate Division,0,Medium,12,1604,126
416,Partition Equal Subset Sum,0,Medium,37,1547,41
95,Unique Binary Search Trees II,0,Medium,11,1509,127
92,Reverse Linked List II,0,Medium,14,1506,105
378,Kth Smallest Element in a Sorted Matrix,0,Medium,15,1487,94
24,Swap Nodes in Pairs,0,Medium,11,1441,128
230,Kth Smallest Element in a BST,0,Medium,31,1433,46
54,Spiral Matrix,0,Medium,3,1425,454
209,Minimum Size Subarray Sum,0,Medium,16,1404,83
380,Insert Delete GetRandom O(1),0,Medium,13,1401,101
16,3Sum Closest,0,Medium,13,1384,100
120,Triangle,0,Medium,8,1355,154
442,Find All Duplicates in an Array,0,Medium,10,1340,123
199,Binary Tree Right Side View,0,Medium,18,1330,71
73,Set Matrix Zeroes,0,Medium,5,1320,231
763,Partition Labels,0,Medium,19,1300,68
695,Max Area of Island,0,Medium,19,1295,65
47,Permutations II,0,Medium,28,1291,46
18,4Sum,0,Medium,5,1286,257
654,Maximum Binary Tree,0,Medium,7,1281,168
210,Course Schedule II,0,Medium,14,1274,90
153,Find Minimum in Rotated Sorted Array,0,Medium,7,1274,182
109,Convert Sorted List to Binary Search Tree,0,Medium,17,1265,74
222,Count Complete Tree Nodes,0,Medium,8,1263,154
547,Friend Circles,0,Medium,12,1258,101
179,Largest Number,0,Medium,7,1247,160
103,Binary Tree Zigzag Level Order Traversal,0,Medium,17,1246,72
43,Multiply Strings,0,Medium,2,1230,573
116,Populating Next Right Pointers in Each Node,0,Medium,10,1227,113
6,ZigZag Conversion,0,Medium,0,1219,3689
310,Minimum Height Trees,0,Medium,16,1218,74
341,Flatten Nested List Iterator,0,Medium,2,1171,486
