Tree,,,,,,,,,
Id,Name,Difficulty,Similar Problems,,,,,Comments,
94,Binary Tree Inorder Traversal ,¡¹,144,145,429,589,590,traversal,
,,,987,1302,,,,,
100,Same Tree ,¡¹¡¹,101,104,110,111,572,,
,,,965,,,,,,
102,Binary Tree Level Order Traversal ,¡¹¡¹,107,429,872,,,collecting nodes,
814,Binary Tree Pruning ,¡¹¡¹¡¹,669,1325,,,,,
112,Path Sum ,¡¹¡¹¡¹,113,437,,,,,
129,Sum Root to Leaf Numbers ,¡¹¡¹¡¹,257,,,,,,
236,Lowest Common Ancestor of a Binary Tree ,¡¹¡¹¡¹,235,,,,,,
297,Serialize and Deserialize Binary Tree ,¡¹¡¹¡¹,449,,,,,,
508,Most Frequent Subtree Sum ,¡¹¡¹¡¹,,,,,,,
124,Binary Tree Maximum Path Sum ,¡¹¡¹¡¹,543,687,,,,"Use both children, return one",
968,Binary Tree Cameras ,¡¹¡¹¡¹¡¹,337,979,,,,,
,,,,,,,,,
,,,,,,,,,
Divide and conquer,,,,,,,,,
Id,Name,Difficulty,Similar Problems,,,,,Comments,
169,Majority Element ,¡¹¡¹,,,,,,,
153,Find Minimum in Rotated Sorted Array ,¡¹¡¹,154,,,,,,
912,Sort and Array ,¡¹¡¹¡¹,,,,,,merge sort,
315,Count of Smaller Numbers After Self ,¡¹¡¹¡¹¡¹,,,,,,merge sort / BIT,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
List,,,,,,,,,
Id,Name,Difficulty,Similar Problems,,,,,Comments,
2,Add Two Numbers ,¡¹¡¹,445,,,,,traversal,
24,Swap Nodes in Pairs ,¡¹¡¹,,,,,,reverse,
206,Reverse Linked List ,¡¹¡¹,,,,,,reverse,
141,Linked List Cycle ,¡¹¡¹,142,,,,,fast/slow,
23,Merge k Sorted Lists ,¡¹¡¹¡¹,21,,,,,priority_queue / mergesort,
147,Insertion Sort List ,¡¹¡¹¡¹,,,,,,insertion sort,
148,Sort List ,¡¹¡¹¡¹¡¹,,,,,,merge sort O(1) space,
707,Design Linked List ,¡¹¡¹¡¹¡¹,,,,,,,
,,,,,,,,,
,,,,,,,,,
BST,,,,,,,,,
Id,Name,Difficulty,Similar Problems,,,,,Comments,
98,Validate Binary Search Tree ,¡¹¡¹,530,,,,,inorder,
700,Search in a Binary Search Tree ,¡¹¡¹,701,,,,,binary search,
230,Kth Smallest Element in a BST ,¡¹¡¹¡¹,,,,,,inorder,
99,Recover Binary Search Tree ,¡¹¡¹¡¹,,,,,,inorder,
108,Convert Sorted Array to Binary Search Tree ,¡¹¡¹¡¹,,,,,,build BST,
501,Find Mode in Binary Search Tree ,¡¹¡¹¡¹,,,,,,inorder,
450,Delete Node in a BST ,¡¹¡¹¡¹¡¹,,,,,,binary search,
,,,,,,,,,
,,,,,,,,,
Graph,,,,,,,,,
Id,Name,Difficulty,Similar Problems,,,,,Comments,
133,Clone Graph ,¡¹¡¹,138,,,,,queue + hashtable,
200,Number of Islands ,¡¹¡¹,547,695,733,827,1162,grid + connected components,
841,Keys and Rooms ,¡¹¡¹,1202,,,,,"DFS, connected components",
207,Course Schedule ,¡¹¡¹¡¹,210,802,,,,topology sorting,
399,Evaluate Division ,¡¹¡¹¡¹,839,952,990,721,737,union find,
785,Is Graph Bipartite? ,¡¹¡¹¡¹,886,1042,,,,"bipartition, graph coloring",
997,Find the Town Judge ,¡¹¡¹¡¹,,,,,,in/out degrees,
433,Minimum Genetic Mutation ,¡¹¡¹¡¹,815,863,1129,1263,,unweighted shortest path / BFS,
684,Redundant Connection ,¡¹¡¹¡¹¡¹,685,1319,,,,"cycle, union find",
743,Network Delay Time ,¡¹¡¹¡¹¡¹,787,882,924,1334,,weighted shortest path,
847,Shortest Path Visiting All Nodes ,¡¹¡¹¡¹¡¹,864,1298,,,,BFS,
332,Reconstruct Itinerary ,¡¹¡¹¡¹¡¹,,,,,,Eulerian path,
1192,Critical Connections in a Network ,¡¹¡¹¡¹¡¹,,,,,,Tarjan,
943,Find the Shortest Superstring ,¡¹¡¹¡¹¡¹¡¹,980,996,,,,Hamiltonian path (DFS / DP),
959,Regions Cut By Slashes ,¡¹¡¹¡¹¡¹¡¹,,,,,,union find / grid + CCs,
,,,,,,,,,
,,,,,,,,,
Search (BFS/DFS),,,,,,,,,
Id,Name,Difficulty,Similar Problems,,,,,,
17,Letter Combinations of a Phone Number ,¡¹¡¹,39,40,77,78,90,216,
46,Permutations ,¡¹¡¹,47,784,943,996,,,
22,Generate Parentheses ,¡¹¡¹¡¹,301,,,,,,
37,Sudoku Solver ,¡¹¡¹¡¹,51,52,,,,,
79,Word Search ,¡¹¡¹¡¹,212,,,,,,
127,Word Ladder ,¡¹¡¹¡¹¡¹,126,752,818,,,,
542,01 Matrix ,¡¹¡¹¡¹,675,934,,,,,
698,Partition to K Equal Sum Subsets ,¡¹¡¹¡¹,93,131,241,282,842,,
,,,,,,,,,
,,,,,,,,,
Binary Search,,,,,,,,,
Id,Name,Difficulty,Similar Problems,,,,,,
35,Search Insert Position ,¡¹¡¹,34,704,981,,,,
33,Search in Rotated Sorted Array ,¡¹¡¹¡¹,81,153,154,162,852,,
69,Sqrt(x) ,¡¹¡¹¡¹,,,,,,,
74,Search a 2D Matrix ,¡¹¡¹¡¹,,,,,,,
875,Koko Eating Bananas ,¡¹¡¹¡¹,1011,,,,,,
4,Median of Two Sorted Arrays ,¡¹¡¹¡¹¡¹,,,,,,,
378,Kth Smallest Element in a Sorted Matrix ,¡¹¡¹¡¹¡¹,668,,,,,,
719,Find K-th Smallest Pair Distance ,¡¹¡¹¡¹¡¹,786,,,,,,
,,,,,,,,,
,,,,,,,,,
Two Pointers,,,,,,,,,
Id,Name,Difficulty,Similar Problems,,,,,,
11,Container With Most Water ,¡¹¡¹,42,,,,,,
125,Valid Palindrome ,¡¹¡¹,455,,,,,,
917,Reverse Only Letters ,¡¹¡¹,925,986,855,,,,
167,Two Sum II ¡V Input array is sorted ,¡¹¡¹¡¹,15,16,,,,,
977,Squares of a Sorted Array ,¡¹¡¹,,,,,,,
992,Subarrays with K Different Integers ,¡¹¡¹¡¹¡¹,,,,,,,
,,,,,,,,,
,,,,,,,,,
Advanced,,,,,,,,,
Id,Name,Difficulty,Similar Problems,,,,,,Comments
208,Implement Trie (Prefix Tree) ,¡¹¡¹¡¹,648,676,677,720,745,211,Trie
307,Range Sum Query ¡V Mutable ,¡¹¡¹¡¹,,,,,,,BIT/Segment Tree
901,Online Stock Span ,¡¹¡¹¡¹,907,1019,,,,,monotonic stack
239,Sliding Window Maximum ,¡¹¡¹¡¹,,,,,,,monotonic queue
,,,,,,,,,
,,,,,,,,,
DP,,,,,,,,,
Id,Name,Difficulty,Similar Problems,,,,,Comments,
70,Climbing Stairs ,¡¹,746,1137,,,,"I: O(n), S = O(n), T = O(n)",
303,Range Sum Query ¡V Immutable ,¡¹,1218,,,,,,
53,Maximum Subarray ,¡¹¡¹,121,,,,,,
62,Unique Paths ,¡¹¡¹,63,64,120,174,931,"I: O(mn), S = O(mn), T = O(mn)",
,,,1210,,,,,,
85,Maximal Rectangle ,¡¹¡¹¡¹,221,304,1277,,,,
198,House Robber ,¡¹¡¹¡¹,213,309,740,790,801,"I: O(n), S = O(3n), T = O(3n)",
279,Perfect Squares ,¡¹¡¹¡¹,,,,,,"I: n, S = O(n), T = O(n*sqrt(n))",
139,Word Break ,¡¹¡¹¡¹,140,818,,,,"I: O(n), S = O(n), T = O(n^2)",
300,Longest Increasing Subsequence ,¡¹¡¹¡¹,673,1048,,,,,
96,Unique Binary Search Trees ,¡¹¡¹¡¹,,,,,,,
1105,Filling Bookcase Shelves ,¡¹¡¹¡¹,,,,,,"I: O(n) + t, S = O(n), T = O(n^2)",
131,Palindrome Partitioning ,¡¹¡¹¡¹,89,,,,,"I: O(n), S = O(2^n), T = O(2^n)",
72,Edit Distance ,¡¹¡¹¡¹,10,44,97,115,583,"I: O(m+n), S = O(mn), T = O(mn)",
,,,712,1187,1143,1092,718,,
1139,Largest 1-Bordered Square ,¡¹¡¹¡¹,,,,,,"I: O(mn), S = O(mn)",
,,,,,,,,"T = O(mn*min(n,m))",
688,Knight Probability in Chessboard ,¡¹¡¹¡¹,576,935,,,,I: O(mn) + k,
,,,,,,,,"S = O(kmn), T = O(kmn)",
322,Coin Change ,¡¹¡¹¡¹,377,416,494,1043,1049,"I: O(n) + k, S = O(n), T = O(kn)",
,,,1220,1230,1262,1269,,,
813,Largest Sum of Averages ,¡¹¡¹¡¹¡¹,1278,1335,410,,,I: O(n) + k,
,,,,,,,,"S = O(n*k), T = O(kn^2)",
